"","cluster","RPS15","NDUFB7","RPS9","RPL13","RPLP2","FAU"
"TCGA.AO.A12C",1,931.03158930793,243.554305811527,1289.55146097931,570.87361130117,1863.97083339626,760.655989403287
"TCGA.AO.A12G",1,687.165008518949,715.885909097936,904.936698542438,719.675928976813,1446.58286969779,1084.29465664486
"TCGA.AQ.A04L",1,550.015233140388,808.103830466009,771.612674051678,1168.70642743777,4053.53550660066,852.15431979544
"TCGA.AR.A1AT",1,529.839738792261,409.45198844234,626.087807660436,428.893254696122,1745.37691742472,712.959798439686
"TCGA.AR.A2LJ",1,1547.46391637036,1035.34266284366,1696.25098600986,1246.94379316003,3127.36101503327,1405.50751685476
"TCGA.AR.A5QN",1,594.79866592821,556.88200427245,483.109466786843,296.038868562974,895.824890792041,585.653716319824
"TCGA.BH.A0AW",1,963.768836997899,890.849872352094,671.179115856322,721.833962038405,1670.38991452964,1142.67255370925
"TCGA.BH.A0B6",1,806.553900023641,826.598499983933,1079.09803446617,962.965191700846,1699.31219388031,1367.68322234591
"TCGA.BH.A0BQ",1,878.125810665492,406.726072105643,879.256945768598,864.22470584977,2170.74561493032,858.694277563457
"TCGA.BH.A0HY",1,458.532262820212,347.021832943609,457.46033228925,596.665103659589,970.458920717105,804.367300462506
"TCGA.BH.A18H",1,493.212650317808,403.928178036692,843.594566843865,612.56794778566,1086.55576538932,855.246438520791
"TCGA.BH.A42T",1,1167.28999366822,1109.5126456222,1103.78891692971,677.076233402939,1481.59838148297,722.265735366487
"TCGA.C8.A12T",1,1199.08449461803,426.475783665061,1256.08044123379,795.169277786135,2188.88901708705,1228.37706323821
"TCGA.C8.A3M8",1,432.361921847798,506.593003396465,311.876608922221,214.978170646704,718.634084300052,287.507100592129
"TCGA.D8.A27N",1,375.924361060276,572.321653461872,569.365378872986,619.445956534886,1056.96582689358,1214.13367372983
"TCGA.E9.A1N6",1,388.684724870342,310.219617164573,345.401248605522,366.784830924395,794.302251595319,489.394657934251
"TCGA.E9.A22D",1,445.246264567114,419.671511803152,449.974505633067,344.861028858028,1291.71641869343,528.571520862094
"TCGA.E9.A295",1,533.291675870132,652.285147467514,753.645710774285,498.55894274095,1055.85352190145,1912.2814975829
"TCGA.E9.A3X8",1,2558.55937652672,2310.3355213993,2933.04724041539,2976.18434446409,8689.12146252105,2563.46252794495
"TCGA.EW.A424",1,1033.77026307326,608.484943813047,947.688640836436,701.911429460829,1933.40137873694,861.441610125982
"TCGA.EW.A6S9",1,319.186947473857,307.817838720652,404.587927751526,306.199485971615,734.299196932139,485.419762431911
"TCGA.JL.A3YW",1,672.925773467036,673.653762576264,709.34840064673,731.092815489354,1962.10520226831,754.16863088373
"TCGA.JL.A3YX",1,853.480231529021,592.148817935837,878.505657074116,651.239458706987,1766.89437126347,952.65378052113
"TCGA.LL.A5YL",1,1135.05840486357,1077.06702613791,1143.23313993031,953.240315906301,2609.36162823929,1122.58762500933
"TCGA.LL.A7T0",1,662.86982830591,681.116876109189,622.687962778578,492.959291022029,1377.09837807304,512.516048189991
"TCGA.LL.A9Q3",1,1948.56749678956,1499.4041423086,1224.52084974795,1043.1212489828,2621.87319341308,1352.48382740392
"TCGA.PE.A5DC",1,1274.13037640747,628.172707099784,890.706721082471,625.606266962261,1548.91899560681,1105.74084802309
"TCGA.PE.A5DD",1,387.497820268998,664.535823667814,516.282547453979,436.370568052113,1232.76775632696,655.948597166208
"TCGA.S3.AA14",1,503.573907896439,309.92739409078,572.328488578209,420.284834080071,855.819017199355,445.861068148216
"TCGA.UL.AAZ6",1,863.512639779182,1036.3793542912,912.640378990272,979.487832943018,1418.69751302192,1708.35919262915
"TCGA.A1.A0SM",2,449.731951970604,240.543439576078,456.514065686928,363.715303590149,846.56364303359,486.510090223448
"TCGA.A1.A0SN",2,561.473874498877,427.373834711445,536.806699044694,449.69434756367,1007.91518184812,714.96381631874
"TCGA.A2.A0CX",2,417.437927654672,497.161526749318,528.663325613418,471.010064262299,1301.95321767133,456.133034537035
"TCGA.A2.A0YG",2,178.090638391815,192.737498243683,226.824409185904,234.413555582031,359.639130115082,288.571458558144
"TCGA.A7.A2KD",2,161.449990060305,1164.77798172102,416.954593642346,449.003838235218,697.1523028161,431.479576268639
"TCGA.A8.A06T",2,249.033023717387,283.797678608711,245.500692243678,193.312942578599,834.73170754058,380.784300439546
"TCGA.A8.A06U",2,255.251771353247,554.598427892483,353.778546286114,271.768037017802,431.510643933751,603.831081767595
"TCGA.A8.A06X",2,330.930414615706,485.387018733508,491.07384337112,345.820448843745,837.73488393333,610.722332362938
"TCGA.A8.A075",2,344.882042451268,244.723075493523,392.00981495092,385.097562393815,558.468047813363,591.173526385561
"TCGA.A8.A076",2,301.943237475714,312.567538967116,300.601376989711,265.109537239533,738.302465761423,420.87410365354
