"","RPS15","NDUFB7","RPS9","RPL13","RPLP2","FAU"
"MB.7296",13.66021064,10.85733596,11.47343693,8.183479647,13.79525535,11.87197323
"MB.5628",13.26323106,10.70945604,11.94359175,8.542142256,13.64637343,12.63349499
"MB.0288",13.3794869,11.28815274,12.81196552,8.741459042,14.04320481,12.93527155
"MB.0421",12.95399153,10.77201928,11.82833849,7.970232712,13.23278257,11.9464711
"MB.0046",13.27174752,10.43911828,12.130841,8.120688068,13.73572579,12.32216521
"MB.0130",13.56810372,10.25750709,11.85121892,8.961172629,14.41680405,12.24401373
"MB.0484",13.05423717,10.77591031,12.03997209,8.437831279,13.44797872,12.04246198
"MB.0552",14.427706,10.68458782,11.99856004,8.473240388,14.30702508,12.69811968
"MB.0365",13.08264528,11.14948794,11.32184601,8.059344388,13.42295989,11.9889686
"MB.0652",12.55746609,10.68458782,11.60627859,7.518920977,13.30734166,12.13542622
